date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:40%20GMT	https://jiomartshop.com/?p=129	E:/jiomart_shop/jiomartshop.com/index1c00.html	(from https://jiomartshop.com/jiomart-order-tracking/)
00:31:41	23270/23270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2017:22:05%20GMT	https://jiomartshop.com/wp-content/uploads/2020/07/Jio-Recharge-Plans.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/07/Jio-Recharge-Plans.jpg	(from https://jiomartshop.com/jio-recharge-plans-offers/)
00:31:42	947/947	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/feed/	E:/jiomart_shop/jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/feed/index.html	(from https://jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/)
00:31:42	42185/42185	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:17:20%20GMT	https://jiomartshop.com/category/uncategorized/	E:/jiomart_shop/jiomartshop.com/category/uncategorized/index.html	(from https://jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/)
00:31:42	1818/1818	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jio-recharge-plans-offers/feed/	E:/jiomart_shop/jiomartshop.com/jio-recharge-plans-offers/feed/index.html	(from https://jiomartshop.com/jio-recharge-plans-offers/)
00:31:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:42%20GMT	https://jiomartshop.com/?p=169	E:/jiomart_shop/jiomartshop.com/indexff23.html	(from https://jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/)
00:31:43	12902/12902	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2015:01:56%20GMT	https://jiomartshop.com/wp-content/uploads/2020/07/Jio-Phone-3-price.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/07/Jio-Phone-3-price.jpg	(from https://jiomartshop.com/jio-phone-3-price-booking-specifications/)
00:31:45	32079/32079	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:15:28%20GMT	https://jiomartshop.com/tag/jio-prepaid-recharge-plans/	E:/jiomart_shop/jiomartshop.com/tag/jio-prepaid-recharge-plans/index.html	(from https://jiomartshop.com/jio-recharge-plans-offers/)
00:31:45	32002/32002	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:15:17%20GMT	https://jiomartshop.com/tag/jio-recharge-offers/	E:/jiomart_shop/jiomartshop.com/tag/jio-recharge-offers/index.html	(from https://jiomartshop.com/jio-recharge-plans-offers/)
00:31:45	31991/31991	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:16:57%20GMT	https://jiomartshop.com/tag/jio-recharge-packs/	E:/jiomart_shop/jiomartshop.com/tag/jio-recharge-packs/index.html	(from https://jiomartshop.com/jio-recharge-plans-offers/)
00:31:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:44%20GMT	https://jiomartshop.com/?p=167	E:/jiomart_shop/jiomartshop.com/index3350.html	(from https://jiomartshop.com/jio-recharge-plans-offers/)
00:31:46	23856/23856	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jun%202020%2011:35:11%20GMT	https://jiomartshop.com/wp-content/uploads/2020/06/JioMart-Customer-Care.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/06/JioMart-Customer-Care.jpg	(from https://jiomartshop.com/jiomart-customer-care/)
00:31:47	926/926	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jio-phone-3-price-booking-specifications/feed/	E:/jiomart_shop/jiomartshop.com/jio-phone-3-price-booking-specifications/feed/index.html	(from https://jiomartshop.com/jio-phone-3-price-booking-specifications/)
00:31:49	4847/4847	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jiomart-customer-care/feed/	E:/jiomart_shop/jiomartshop.com/jiomart-customer-care/feed/index.html	(from https://jiomartshop.com/jiomart-customer-care/)
00:33:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:48%20GMT	https://jiomartshop.com/?p=13	E:/jiomart_shop/jiomartshop.com/index2dc4.html	(from https://jiomartshop.com/about-us/)
